TestCase,Keyword,Object,ObjectType,Value
LogIn
,URL,,,UrlProperty
,input_text,USERNAME,name,yuvi1	
,input_text,PASSWORD,name,yuvi1
,click,login,name,
,check,,,loggedinTitle,
FindFlights
,select_radiobutton,tripType,name,tripRadio
,select_button,passCount,name,passengers
,select_button,fromPort,name,fromPort
,select_button,fromMonth,name,fromDate
,select_button,fromDay,name,fromDay
,select_button,toPort,name,toPort
,select_button,toMonth,name,toDate
,select_button,toDay,name,toDay
,select_radiobutton,servClass,name,class
,select_button,airline,name,planeType
,click,findFlights,findFlightsSubmit,
,check,,,findFlightTitle,
SelectFlights
,select_radiobutton,outFlight,name,outlflights
,select_radiobutton,inFlight,name,inflights
,click,reserveFlights,name,
Book
,input_text,passFirst0,name,firstName
,input_text,passLast0,name,lastname
,select_button,pss.0.meal,name,mealPreference
,select_button,creditCard,name,creditCardType
,input_text,creditnumber,name,creditCardNumber
,select_button,cc_exp_dt_mn,name,monthExp
,select_button,cc_exp_dt_mn,name,yearExp
,input_text,cc_first_name,name,ccfirstName
,input_text,cc_last_name,name,cclastName
,input_text,billAddres1,name,adressbill
,input_text,billcity,name,city
,input_text,billState,name,state
,input_text,billZip,name,zip
,input_text,billCountry,name,country
,check,,,confirm,
Logout
,click,logout,name,
,check,,,Loggoff,
